markets,artists,duration_ms,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,musicalkey,musicalmode,time_signature,count,ids,popularity
88.0,2QwJQuBekTA4qF7N7uLHDP,198933.0,0.000789,0.543,0.961,1.29e-06,0.431,-2.749,0.0373,131.463,0.567,4.0,1.0,4.0,1.0,2QwJQuBekTA4qF7N7uLHDP,46.0
88.0,2QwJQuBekTA4qF7N7uLHDP,198933.0,0.000789,0.543,0.961,1.29e-06,0.431,-2.749,0.0373,131.463,0.567,4.0,1.0,4.0,1.0,2QwJQuBekTA4qF7N7uLHDP,42.0
184.0,5xUf6j4upBrXZPg6AI4MRK,311000.0,0.000173,0.485,0.841,0.00686,0.125,-6.068,0.0307,94.867,0.551,2.0,0.0,4.0,1.0,5xUf6j4upBrXZPg6AI4MRK,68.0
184.0,5xUf6j4upBrXZPg6AI4MRK,311000.0,0.000173,0.485,0.841,0.00686,0.125,-6.068,0.0307,94.867,0.551,2.0,0.0,4.0,1.0,5xUf6j4upBrXZPg6AI4MRK,65.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,233360.0,0.00141,0.261,0.964,2.87e-05,0.183,-6.654,0.0638,162.902,0.326,9.0,1.0,3.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,77.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,233360.0,0.00141,0.261,0.964,2.87e-05,0.183,-6.654,0.0638,162.902,0.326,9.0,1.0,3.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,78.0
185.0,7jy3rLJdDQY21OgRLCZ9sD,233360.0,0.00141,0.261,0.964,2.87e-05,0.183,-6.654,0.0638,162.902,0.326,9.0,1.0,3.0,1.0,7jy3rLJdDQY21OgRLCZ9sD,75.0
185.0,64tNsm6TnZe2zpcMVMOoHL,374333.0,0.0289,0.263,0.562,0.00118,0.12,-7.858,0.0273,146.08,0.213,3.0,1.0,3.0,1.0,64tNsm6TnZe2zpcMVMOoHL,72.0
185.0,64tNsm6TnZe2zpcMVMOoHL,374333.0,0.0289,0.263,0.562,0.00118,0.12,-7.858,0.0273,146.08,0.213,3.0,1.0,3.0,1.0,64tNsm6TnZe2zpcMVMOoHL,73.0
184.0,2zMQOJ4Cyl4BYbw6WqaO3h,175293.0,9.2e-06,0.419,0.916,0.184,0.0751,-8.373,0.0604,128.981,0.495,1.0,1.0,4.0,1.0,2zMQOJ4Cyl4BYbw6WqaO3h,47.0
184.0,5xUf6j4upBrXZPg6AI4MRK,266200.0,1.65e-05,0.307,0.917,0.00044,0.0566,-7.599,0.0977,101.879,0.266,9.0,1.0,4.0,1.0,5xUf6j4upBrXZPg6AI4MRK,68.0
184.0,5xUf6j4upBrXZPg6AI4MRK,266200.0,1.65e-05,0.307,0.917,0.00044,0.0566,-7.599,0.0977,101.879,0.266,9.0,1.0,4.0,1.0,5xUf6j4upBrXZPg6AI4MRK,65.0
184.0,2mncWLPUUFpNvBLkHzTsDO,210533.0,1.58e-05,0.24,0.863,0.416,0.0944,-8.046,0.0402,75.591,0.331,11.0,0.0,4.0,1.0,2mncWLPUUFpNvBLkHzTsDO,30.0
184.0,6olE6TJLqED3rqDCT0FyPh,233173.0,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,0.359,1.0,1.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,81.0
184.0,6olE6TJLqED3rqDCT0FyPh,233173.0,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,0.359,1.0,1.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,82.0
184.0,6olE6TJLqED3rqDCT0FyPh,233173.0,0.0793,0.446,0.632,0.000266,0.0881,-12.197,0.034,113.176,0.359,1.0,1.0,4.0,1.0,6olE6TJLqED3rqDCT0FyPh,79.0
0.0,2QMMktUMtwMSwUZATX1cRO,354493.0,0.0742,0.564,0.654,0.148,0.131,-7.507,0.0251,181.081,0.446,11.0,0.0,4.0,1.0,2QMMktUMtwMSwUZATX1cRO,49.0
184.0,40akJv6gxzx8uyRg3vBRuX,294186.0,2.3e-05,0.429,0.903,6.19e-05,0.446,-5.667,0.0377,105.973,0.576,5.0,1.0,4.0,1.0,40akJv6gxzx8uyRg3vBRuX,27.0
185.0,4jzHHEC3qk1j4hnIWPUnsu,163066.0,6.51e-06,0.209,0.951,0.00619,0.0829,-6.326,0.0609,100.945,0.471,0.0,1.0,4.0,1.0,4jzHHEC3qk1j4hnIWPUnsu,29.0
185.0,0XHiH53dHrvbwfjYM7en7I,345133.0,0.181,0.48,0.384,0.105,0.124,-12.705,0.0304,152.184,0.194,10.0,1.0,4.0,1.0,0XHiH53dHrvbwfjYM7en7I,59.0
185.0,64tNsm6TnZe2zpcMVMOoHL,338226.0,0.0122,0.356,0.818,0.000118,0.123,-5.343,0.0335,97.528,0.389,6.0,1.0,4.0,1.0,64tNsm6TnZe2zpcMVMOoHL,72.0
185.0,64tNsm6TnZe2zpcMVMOoHL,338226.0,0.0122,0.356,0.818,0.000118,0.123,-5.343,0.0335,97.528,0.389,6.0,1.0,4.0,1.0,64tNsm6TnZe2zpcMVMOoHL,73.0
185.0,2JXDwIo5HsiwTcTPQytrZ8,197000.0,0.00252,0.412,0.88,4.39e-05,0.09,-9.001,0.045,105.241,0.234,1.0,1.0,4.0,1.0,2JXDwIo5HsiwTcTPQytrZ8,40.0
185.0,2JXDwIo5HsiwTcTPQytrZ8,197000.0,0.00252,0.412,0.88,4.39e-05,0.09,-9.001,0.045,105.241,0.234,1.0,1.0,4.0,1.0,2JXDwIo5HsiwTcTPQytrZ8,37.0
